species,life_stage,form,nutrient_code,nutrient_name_ko,min_value,max_value,unit,basis,tier,source_url,source_page_table,profile_edition,publication_year,notes
DOG,ADULT_MAINTENANCE,ALL,CRUDE_PROTEIN,조단백질,18.0,,g/100g_DM,DRY_MATTER,tier1_core,https://www.aafco.org/wp-content/uploads/2023/01/Pet_Food_Report_Annual_2014-Appendix_A-Revised_AAFCO_Nutrient_Profiles-Final_092214.pdf,Table A-1 (Dog Adult Maintenance),AAFCO 2014 Nutrient Profiles,2014,CP 필수. AAFCO 2024 OP 동일값 인용
DOG,ADULT_MAINTENANCE,ALL,CRUDE_FAT,조지방,5.5,,g/100g_DM,DRY_MATTER,tier1_core,AAFCO 2014 Nutrient Profiles,Table A-1 (Dog Adult Maintenance),AAFCO 2014 Nutrient Profiles,2014,조지방 필수
DOG,ADULT_MAINTENANCE,ALL,LINOLEIC_ACID,리놀레산,1.0,,g/100g_DM,DRY_MATTER,tier2_extended,AAFCO 2014 Nutrient Profiles,Table A-1 (Dog Adult Maintenance),AAFCO 2014 Nutrient Profiles,2014,오메가-6 필수
DOG,ADULT_MAINTENANCE,ALL,CALCIUM,칼슘,0.5,2.5,g/100g_DM,DRY_MATTER,tier1_core,AAFCO 2014 Nutrient Profiles,Table A-1 (Dog Adult Maintenance),AAFCO 2014 Nutrient Profiles,2014,Ca 필수
DOG,ADULT_MAINTENANCE,ALL,PHOSPHORUS,인,0.4,1.6,g/100g_DM,DRY_MATTER,tier1_core,AAFCO 2014 Nutrient Profiles,Table A-1 (Dog Adult Maintenance),AAFCO 2014 Nutrient Profiles,2014,P 필수
DOG,ADULT_MAINTENANCE,ALL,CA_P_RATIO,Ca:P 비율,1.0,2.0,ratio,DRY_MATTER,tier1_core,AAFCO 2014 Nutrient Profiles,Table A-1 (Dog Adult Maintenance) Footnote,AAFCO 2014 Nutrient Profiles,2014,종별 분기: DOG만 적용. CAT는 AAFCO Ca:P 미요구
DOG,ADULT_MAINTENANCE,ALL,POTASSIUM,칼륨,0.6,,g/100g_DM,DRY_MATTER,tier1_core,AAFCO 2014 Nutrient Profiles,Table A-1 (Dog Adult Maintenance),AAFCO 2014 Nutrient Profiles,2014,K 필수
DOG,ADULT_MAINTENANCE,ALL,SODIUM,나트륨,0.08,,g/100g_DM,DRY_MATTER,tier1_core,AAFCO 2014 Nutrient Profiles,Table A-1 (Dog Adult Maintenance),AAFCO 2014 Nutrient Profiles,2014,Na 필수
DOG,ADULT_MAINTENANCE,ALL,CHLORIDE,염소,0.12,,g/100g_DM,DRY_MATTER,tier2_extended,AAFCO 2014 Nutrient Profiles,Table A-1 (Dog Adult Maintenance),AAFCO 2014 Nutrient Profiles,2014,Cl 필수
DOG,ADULT_MAINTENANCE,ALL,MAGNESIUM,마그네슘,0.06,,g/100g_DM,DRY_MATTER,tier1_core,AAFCO 2014 Nutrient Profiles,Table A-1 (Dog Adult Maintenance),AAFCO 2014 Nutrient Profiles,2014,Mg 필수
